Title;Employer;Employment Type;Link;Email;Contact Text;Description;;
Classroom teacher;Takapuna Normal Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqWB-permanent-classroom-teacher/;ccrampsie@tnis.school.nz;N/A;N/A;;
Kaiako Kura Teina;TKKM o Ngati Kahungunu o Te Wairoa;Full time, Fixed term, Start Date: 21/01/2026, End Date: 27/01/2028(Roll growth);https://gazette.education.govt.nz/vacancies/1HAqW9-kaiako-kura-teina/;tumuaki@kkmwairoa.school.nz;N/A;N/A;;
Itinerant music teachers;Waimea College;Part time, Fixed term, FTTE up to: 0.2, Start Date: 28/01/2026, End Date: 27/01/2027(Itinerant music teaching);https://gazette.education.govt.nz/vacancies/1HAqVf-itinerant-music-teachers/;nicola.cruise@waimea.school.nz;N/A;N/A;;
Toddlers teacher - Palmerston North;Kindercare Learning Centres - Palmerston North;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqW8-toddlers-teacher-palmerston-north/;sam.perry@kindercare.co.nz;N/A;N/A;;
Food technology  & hospitality teacher;Te Puke High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqVt-food-technology-and-hospitality-teacher/;principalspa@tepuke.school.nz;N/A;N/A;;
Classroom release teacher;Tikitiki School;Part time, Permanent, FTTE up to: 0.2;https://gazette.education.govt.nz/vacancies/1HAqW7-classroom-release-teacher/;tumuaki@tiki.school.nz;N/A;N/A;;
Kaiako – Integrated studies with Te Ao Māori focus;Tauhara College;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Special project );https://gazette.education.govt.nz/vacancies/1HAqW6-kaiako-integrated-studies-with-te-ao-maori-focus/;bl@tauhara.school.nz;N/A;N/A;;
Primary school music specialist;Our Lady Sacred Heart School (Epsom);Part time, Fixed term, FTTE up to: 0.2, Start Date: 28/01/2026, End Date: 27/01/2027(Special project );https://gazette.education.govt.nz/vacancies/1HAqVu-primary-school-music-specialist/;tanyar@olsh.school.nz;N/A;N/A;;
Qualified relief teacher;Montessori Blenheim;Part time, Fixed term, FTTE up to: 0.9, Start Date: 17/11/2025, End Date: 19/12/2025(short term staff illness);https://gazette.education.govt.nz/vacancies/1HAqVc-short-term-relief-immediate-start/;rachel@montessoriblenheim.co.nz;N/A;N/A;;
Teacher of mathematics;Wesley College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqVj-teacher-of-mathematics-full-time-permanent/;cwood@wesley.school.nz;N/A;N/A;;
Physical education and Te Reo Māori Kaiako;Westland High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqVW-physical-education-and-te-reo-maori-kaiako/;belindaconn@westlandhigh.school.nz;N/A;N/A;;
Kaiako Matua – health & physical education;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 10/12/2027(Replace for secondment);https://gazette.education.govt.nz/vacancies/1HAqVZ-kaiako-matua-health-and-physical-education/;Mere.Davis@tekura.school.nz;N/A;N/A;;
Toddlers kaiako;Bumblebees Childcare Centre;Full time, Fixed term, Start Date: 12/01/2026, End Date: 03/07/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqVn-toddlers-kaiako-maternity-cover/;jamie@bumblebeeschildcare.co.nz;N/A;N/A;;
Teacher of commerce;Massey High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqVV-teacher-of-commerce/;ecurtis@masseyhigh.school.nz;N/A;N/A;;
Outdoor education; physical education; and health teacher;Fairfield College;Full time, Fixed term, Start Date: 27/01/2026, End Date: 11/12/2026(Maternity leave );https://gazette.education.govt.nz/vacancies/1HAqVm-outdoor-education-physical-education-and-health-teacher/;snowdonl@faircol.school.nz;N/A;N/A
Teacher;Ormond Kindergarten;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqVk-permanent-teacher/;giskgtnst@gmail.com;N/A;N/A;;
Learning support co-ordinator;Oceanview Heights School;Part time, Permanent, FTTE up to: 0.2;https://gazette.education.govt.nz/vacancies/1HAqVT-learning-support-co-ordinator/;sabel@ovh.school.nz;N/A;N/A;;
Teacher of English / ESOL;Wesley College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqVh-teacher-of-english-esol/;cwood@wesley.school.nz;N/A;N/A;;
Y7–8 homeroom teacher;Southland Boys' High School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2026(Roll growth );https://gazette.education.govt.nz/vacancies/1HAqVS-y78-homeroom-teacher-fixed-term-full-time/;exceutiveassistant@sbhs.school.nz;N/A;N/A;;
Mathematics teacher;Whanganui Girls' College;Part time, Fixed term, FTTE up to: 0.8, Start Date: 26/01/2026, End Date: 07/12/2026(To cover a study leave position);https://gazette.education.govt.nz/vacancies/1HAqVK-mathematics-teacher-part-time-fixed-term/;npond@wgc.ac.nz;N/A;N/A;;
Y9-13 art teacher;Te Karaka Area School;Full time, Fixed term, Start Date: 19/01/2026, End Date: 11/12/2026(Study leave);https://gazette.education.govt.nz/vacancies/1HAqVH-year-9-13-art-teacher/;alex@tkas.school.nz;N/A;N/A;;
New entrant teacher;Te Karaka Area School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqVG-new-entrant-teacher/;alex@tkas.school.nz;N/A;N/A;;
Kaiako kura teina - Tupuranga Reo;TKKM o Taumarere;Part time, Fixed term, FTTE up to: 0.8, Start Date: 26/01/2026, End Date: 11/12/2026(Board project );https://gazette.education.govt.nz/vacancies/1HAqVF-kaiako-kura-teina-tupuranga-reo/;admin@taumarere.school.nz;N/A;N/A;;
Social sciences & science teacher;Hornby High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqVD-social-sciences-and-science-teacher/;principal@hornby.school.nz;N/A;N/A;;
Y4–8 teacher;Tarras School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqVC-permanent-full-time-position/;principal@tarras.school.nz;N/A;N/A;;
Scale A teachers;Lawrence Area School;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAqUp-scale-a-teachers-regraded/;principal@las.school.nz;N/A;N/A;;
Learning support co-ordinator. Tagged;Al-Madinah School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqV4-learning-support-co-ordinator-tagged/;rizwanh@edu.al-madinah.school.nz;N/A;N/A;;
Reo Rumaki Kaiako 5 - 8;Te Kura O Otangarei;Full time, Fixed term, Start Date: 02/02/2026, End Date: 17/12/2026(Study leave );https://gazette.education.govt.nz/vacancies/1HAqUz-reo-rumaki-kaiako-5-8/;danelle@otangarei.school.nz;N/A;N/A;;
SENCO and structured literacy support;Blenheim School;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqVM-senco-and-structured-literacy-support/;principal@blenheim.school.nz;N/A;N/A;;
Teacher of social science;Howick College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUx-teacher-of-social-science/;employment@howick.school.nz;N/A;N/A;;
Teacher of social science;Howick College;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Classroom release time );https://gazette.education.govt.nz/vacancies/1HAqUw-teacher-of-social-science/;employment@howick.school.nz;N/A;N/A;;
Kaiako / teacher of health & physical education and/or English;Thames High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUn-kaiako-teacher-of-health-and-physical-education-andor-english/;traceyreed@thameshigh.school.nz;N/A;N/A;;
Y7-8 Scale A teacher;Al-Madinah School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUk-scale-a-teacher-y78/;rizwanh@edu.al-madinah.school.nz;N/A;N/A;;
Scale A teacher;Mahora School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUh-scale-a-teacher/;admin@mahora.school.nz;N/A;N/A;;
Kaiako – team leader;Te Aho o Te Kura Pounamu;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUg-kaiako-team-leader/;Anil.Singh@tekura.school.nz;N/A;N/A;;
Teacher of mathematics & statistics;Avondale College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUe-teacher-of-mathematics-and-statistics/;recruitment@avcol.school.nz;N/A;N/A;;
Kaiako;Karanga Mai Early Learning Centre;Part time, Fixed term, FTTE up to: 0.8, Start Date: 26/01/2026, End Date: 31/07/2026(To cover leave);https://gazette.education.govt.nz/vacancies/1HAqUc-kaiako-karanga-mai-elc-fixed-term/;karangamai@wellbeingnc.org.nz;N/A;N/A;;
General science teacher;St Peter's College (Epsom);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUY-general-science-teacher/;humanresources@st-peters.school.nz;N/A;N/A;;
PE / health and arts teacher (Y9–13);Al-Madinah School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUW-pehealth-and-arts/;rizwanh@edu.al-madinah.school.nz;N/A;N/A;;
Kaiako - team leader;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Temporary appointment for position for which there is no on-going need from the end of 2026.);https://gazette.education.govt.nz/vacancies/1HAqUM-kaiako-team-leader/;Kerry.Coulshed@tekura.school.nz;N/A;N/A;;
Kaiako - team leader;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Temporary appointment for position for which there is no on-going need from the end of this year.);https://gazette.education.govt.nz/vacancies/1HAqUL-kaiako-team-leader/;Kerry.Coulshed@tekura.school.nz;N/A;N/A;;
Visiting teacher / coordinator – Queenstown;Education Angels In Home Childcare;Part time, Permanent, FTTE up to: 0.4;https://gazette.education.govt.nz/vacancies/1HAqUK-visiting-teachercoordinator-queenstown/;kristin.reese@educationangels.co.nz;N/A;N/A;;
Kaiako – Little Parrots Tāpui;Little Parrots;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqUJ-kaiako-little-parrots-tapui/;info@lilparrots.co.nz;N/A;N/A;;
Teacher – Te Ara School;Onslow College;Part time, Permanent, FTTE up to: 0.5;https://gazette.education.govt.nz/vacancies/1HAqUH-teacher-te-ara-school-wellington/;vacancy@onslow.school.nz;N/A;N/A;;
He Kaiako;Portland School Te Kura o Tikorangi;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAqUF-he-kaiako/;principal@portland.school.nz;N/A;N/A;;
He Kaiako;Portland School Te Kura o Tikorangi;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUE-he-kaiako/;principal@portland.school.nz;N/A;N/A;;
Specialist education teacher;Te Kahu Amohia - Fairhaven School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqUA-specialist-education-teacher-full-time-permanent-position/;tumuaki@fairhaven.net.nz;N/A;N/A;;
English teacher;St Peter's College (Epsom);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqU1-english-teacher/;humanresources@st-peters.school.nz;N/A;N/A;;
Physics teacher;St Peter's College (Epsom);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTz-physics-teacher/;humanresources@st-peters.school.nz;N/A;N/A;;
Scale A teacher;Arohanui Special School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTr-scale-a-teacher/;admin@arohanui.school.nz;N/A;N/A;;
Resource Teacher Learning and Behaviour;Masterton Primary School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTq-resource-teacher-learning-and-behaviour/;manager@remutakartlb.co.nz;N/A;N/A;;
Rumaki Kaiako;Maraenui Bilingual School (Napier);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTk-rumaki-kaiako/;principal@maraenui.school.nz;N/A;N/A;;
Scale A teachers for Phase 2;Weymouth School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTh-scale-a-teachers-for-phase-2-permanent-roles/;office@weymouthprimary.school.nz;N/A;N/A;;
Science teacher with physics;Palmerston North Boys' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTf-science-teacher-with-physics/;admin@pnbhs.school.nz;N/A;N/A;;
Kaiako Kura Teina  Tau 1-6 (2 positions);Te Ara Whanui Kura Kaupapa Māori o ngā Kōhanga Reo o Te Awa Kairangi;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTc-kaiako-kura-teina-tau-1-6/;kl@tawkkm.school.nz;N/A;N/A;;
Science teacher;Pinehurst School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTa-science-teacher/;christine.canfield@pinehurst.school.nz;N/A;N/A;;
Core curriculum teachers for 2026 (3 positions);Papakura Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqT_-core-curriculum-teachers-3-roles-for-2026/;principal@papakuraintermediate.school.nz;N/A;N/A;;
Science teacher bonded position;Timaru Boys' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTW-science-teacher-bonded-position/;vacancies@timaruboys.school.nz;N/A;N/A;;
Y4–6 teacher and Y7–8 teacher (2 positions);Miller Avenue School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqTQ-yr-78-teacher-fulltime/;principal@millerave.school.nz;N/A;N/A;;
Y5-8 class teacher; English medium; 0.6FTTE (3 days);Paeroa Central School;Part time, Fixed term, FTTE up to: 0.6, Start Date: 02/02/2026, End Date: 16/12/2026(The fixed-term appointment of one year aligns with the completion of a Ministry-led PLD project for the teacher in this class. );https://gazette.education.govt.nz/vacancies/1HAqRh-y5-8-class-teacher-english-medium-0-6ftte-3-days/;mona.h@paeroacentral.school.nz;N/A;N/A
Y7 and 8 teacher;Kaikohe Christian School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqSz-year-7-and-8-teacher-full-time-permanent/;jonie@kcs.school.nz;N/A;N/A;;
Qualified registered Kaiako;Karori Kids Incorporated;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqSy-qualified-full-time-registered-kaiako/;karorikids@xtra.co.nz;N/A;N/A;;
Kaiako - Māori Medium Y1-6;Haeata Community Campus;Full time, Fixed term, Start Date: 26/01/2026, End Date: 10/12/2026(Study leave );https://gazette.education.govt.nz/vacancies/1HAqSu-kaiako-maori-medium-yr-1-6/;har@haeata.school.nz;N/A;N/A;;
Kaiako - Māori bilingual unit;Haeata Community Campus;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqSp-kaiako-maori-bilingual-unit/;har@haeata.school.nz;N/A;N/A;;
Teacher of music;Queen Elizabeth College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqSn-teacher-of-music-permanent-full-time/;lfail@qec.school.nz;N/A;N/A;;
Qualified Kaiako – Whangaparāoa;Small Sprouts Limited;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqSj-qualified-kaiako-full-time-whangaparaoa/;elysia@smallsprouts.co.nz;N/A;N/A;;
Teacher Y3-5;Tolaga Bay Area School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 16/12/2026(Special project);https://gazette.education.govt.nz/vacancies/1HAqSf-teacher-y-3-5/;tolaga.school@uawa.ac.nz;N/A;N/A;;
Kaiako / classroom teacher;Huntly School (Waikato);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqSW-kaiako-classroom-teacher-full-time-permanent/;chasek@huntlyprimary.school.nz;N/A;N/A;;
Junior school teacher (Y1–2);Coroglen School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqSF-junior-school-teacher-years-12/;principal@coroglen.school.nz;N/A;N/A;;
Global perspectives teacher (Y7-9);North West College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqS7-global-perspectives-teacher-years-7-9/;mrandles@nwcollege.school.nz;N/A;N/A;;
Y5–6 teacher;Makauri School;Full time, Fixed term, Start Date: 30/01/2026, End Date: 29/01/2027(Staffing entitlement has been met);https://gazette.education.govt.nz/vacancies/1HAqS4-fixed-term-roll-growth-teaching-positions-year-56-and-year-0/;principal@makauri.school.nz;N/A;N/A;;
Mathematics teacher;Diocesan School For Girls;Full time, Fixed term, Start Date: 19/01/2026, End Date: 26/01/2027(For teacher coverage on a subject area whereby we will assess role numbers in 2026/2027.);https://gazette.education.govt.nz/vacancies/1HAqRy-mathematics-teacher/;recruitment@diocesan.school.nz;N/A;N/A;;
Samoan bilingual teacher – Tava‘e unit;Naenae School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqRc-samoan-bilingual-teacher-tavae-unit/;murray.bootten@nnps.school.nz;N/A;N/A;;
Qualified kaiako;Small Oaks Early Learning Centre;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqRm-qualified-kaiako-join-our-whanau-at-small-oaks/;smalloaks@xtra.co.nz;N/A;N/A;;
Qualified O2 kaiako;The Haven Early Learning - Belmont;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqRr-qualified-over-2s-kaiako/;lucyp@havenearlylearning.nz;N/A;N/A;;
Y11–13 teacher;;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqRa-exciting-opportunity-in-a-new-sport-focused-secondary-school/;enquiries@nzpaa.school.nz;N/A;N/A;;
Learning support co-ordinator;Sunnyvale School;Part time, Fixed term, FTTE up to: 0.6, Start Date: 27/01/2026, End Date: 03/07/2026(Sick leave);https://gazette.education.govt.nz/vacancies/1HAqRP-learning-support-co-ordinator/;katiep@sunnyvale.school.nz;N/A;N/A;;
Kaiako – Y1–10;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.5, Start Date: 29/01/2026, End Date: 03/07/2026(Fixed term backfill for secondment);https://gazette.education.govt.nz/vacancies/1HAqRM-kaiako-years-1-10/;Carl.Scurr@tekura.school.nz;N/A;N/A;;
Kaiako – Y1–10;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.5, Start Date: 29/01/2026, End Date: 03/07/2026(Fixed term backfill for secondment);https://gazette.education.govt.nz/vacancies/1HAqRK-kaiako-years-1-10/;Carl.Scurr@tekura.school.nz;N/A;N/A;;
Y7–8 homeroom teacher;Reporoa College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqRJ-year-7-and-8-homeroom-teacher-2/;principal@reporoa.school.nz;N/A;N/A;;
Kaiako – Y1–10;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.5, Start Date: 29/01/2026, End Date: 03/07/2026(Fixed term backfill for secondment);https://gazette.education.govt.nz/vacancies/1HAqRH-kaiako-years-1-10/;Carl.Scurr@tekura.school.nz;N/A;N/A;;
Kaiako – Y1–10;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.5, Start Date: 29/01/2026, End Date: 03/07/2026(Fixed term backfill for secondment);https://gazette.education.govt.nz/vacancies/1HAqRE-kaiako-years-1-10/;Carl.Scurr@tekura.school.nz;N/A;N/A;;
Literacy support teacher;Te Miro School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 02/02/2026, End Date: 16/12/2026(Literacy support project);https://gazette.education.govt.nz/vacancies/1HAqRD-literacy-support-teacher-part-time/;principal@temiro.school.nz;N/A;N/A;;
Y4–6 teacher – senior team;New Lynn School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqRC-permanent-full-time/;principal@newlynn.school.nz;N/A;N/A;;
Kaiako – Pathways;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.4, Start Date: 29/01/2026, End Date: 03/07/2026(Backfill for incumbent );https://gazette.education.govt.nz/vacancies/1HAqRw-kaiako-pathways/;Carl.Scurr@tekura.school.nz;N/A;N/A;;
Teacher of te reo Māori;Manukau Institute of Technology;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqRW-teacher-of-te-reo-maori/;Alison.Redfern-Daly@manukau.ac.nz;N/A;N/A;;
Y7–8 kaiako Māori;Sir Edmund Hillary Collegiate Middle School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqR7-y78-kaiako-maori/;epeautau@sehc.school.nz;N/A;N/A;;
Kaiako – Y1–10;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.5, Start Date: 29/01/2026, End Date: 11/12/2026(Replace for Secondment);https://gazette.education.govt.nz/vacancies/1HAqR4-kaiako-years-1-10/;Carl.Scurr@tekura.school.nz;N/A;N/A;;
Japanese teacher;Rutherford College;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Project-based: To support the Languages Department while the school reviews compulsory languages for 2027);https://gazette.education.govt.nz/vacancies/1HAqQz-japanese-teacher/;daviss@rutherford.school.nz;N/A;N/A;;
Kaiako – Y1–10;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.5, Start Date: 29/01/2026, End Date: 11/12/2026(Replace for secondment);https://gazette.education.govt.nz/vacancies/1HAqR1-kaiako-years-1-10/;Carl.Scurr@tekura.school.nz;N/A;N/A;;
Kaiako – Y1 – 10;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.5, Start Date: 29/01/2026, End Date: 11/12/2026(Replace for Secondment);https://gazette.education.govt.nz/vacancies/1HAqQy-kaiako-years-1-10/;Carl.Scurr@tekura.school.nz;N/A;N/A;;
Scale A teacher;Pukenui School (Te Kuiti);Full time, Fixed term, Start Date: 30/01/2026, End Date: 15/12/2026(Contestable funding learning support project);https://gazette.education.govt.nz/vacancies/1HAqQp-scale-a-teacher-full-time-fixed-term-term-1-2026/;principal@pukenui.school.nz;N/A;N/A;;
Kaiako Y1–10;Te Aho o Te Kura Pounamu;Part time, Fixed term, FTTE up to: 0.8, Start Date: 29/01/2026, End Date: 25/09/2026(Replacing incumbent on secondment);https://gazette.education.govt.nz/vacancies/1HAqQs-kaiako-years-1-10/;Mere.Davis@tekura.school.nz;N/A;N/A;;
Kaiako Y1–10;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 03/07/2026(Replacing secondment);https://gazette.education.govt.nz/vacancies/1HAqQn-kaiako-years-1-10/;Mere.Davis@tekura.school.nz;N/A;N/A;;
Teacher Y1–3 (0.8) with possible fixed term (0.2) for 2026;Rere School;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqQm-8-permanent-y1-3-with-possible-fixed-term-2-for-2026/;wendy@rere.school.nz;N/A;N/A;;
Kaiako Y1–10 – based in Hamilton; Rotorua or Tauranga;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Predicted ākonga numbers);https://gazette.education.govt.nz/vacancies/1HAqQf-kaiako-years-1-10/;Mere.Davis@tekura.school.nz;N/A;N/A;
ORS specialist teacher – ORS funded;Motueka High School;Part time, Fixed term, FTTE up to: 0.7, Start Date: 28/01/2026, End Date: 18/12/2026(Project-based);https://gazette.education.govt.nz/vacancies/1HAqQb-ors-specialist-teacher-ors-funded/;nicki.saundersloder@motuekahigh.school.nz;N/A;N/A;;
Y7 Scale A teacher (Takapuna/ Belmont) – 2026;Belmont Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqQZ-y7-scale-a-teacher-takapuna-belmont-start-term-1-2026/;nhill@belmontint.school.nz;N/A;N/A;;
Kaiako | Leaving to Learn – flexible office location;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(New programme);https://gazette.education.govt.nz/vacancies/1HAqQW-kaiako-leaving-to-learn/;Trudy.Harrison@tekura.school.nz;N/A;N/A;;
LSC and CRT/PRT release teacher;Westport North School;Part time, Permanent, FTTE up to: 0.4;https://gazette.education.govt.nz/vacancies/1HAqQV-lsc-role-and-crtprt-release-teacher/;rebecca@westportnorth.school.nz;N/A;N/A;;
ORS specialist teacher;Bream Bay College;Part time, Fixed term, FTTE up to: 0.2, Start Date: 28/01/2026, End Date: 27/01/2027(Project-based);https://gazette.education.govt.nz/vacancies/1HAqQE-ors-specialist-teacher/;ndonaldson@breambaycollege.school.nz;N/A;N/A;;
Uncertifed baby's room teacher;Piccolo Park Mt Richmond;Full time, Fixed term, Start Date: 05/01/2026, End Date: 03/07/2026(Maternity cover);https://gazette.education.govt.nz/vacancies/1HAqQ6-babys-room-maternity-cover/;april@piccolopark.co.nz;N/A;N/A;;
Geography teacher;James Cook High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqPw-geography-teacher-permanent-full-time/;a.alasadi@jchs.school.nz;N/A;N/A;;
Y9–13 teacher of English;Hamilton Christian School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqPs-y9-13-teacher-of-english/;vacancies@hamiltonchristian.school.nz;N/A;N/A;;
Y5 to 8 kaiako/teacher;Runanga School;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAqPc-year-5-to-8-kaiakoteacher/;principal@runanga.school.nz;N/A;N/A;;
Teacher lower school. Tagged;Waikato Waldorf School ( Rudolf Steiner);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqP1-teacher-lower-school/;applications@waikatowaldorf.school.nz;N/A;N/A;;
Resource teacher: learning and behaviour (RTLB);Tairangi School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqNs-resource-teacher-learning-and-behaviour-rtlb/;applications@wellingtonrtlb.school.nz;N/A;N/A;;
Te Reo Māori teacher;Hato Paora College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqNq-te-reo-maori-teacher/;kmcdowell@hatopaora.school.nz;N/A;N/A;;
Itinerant teachers of music (several positions);Papakura High School;Part time, Fixed term, FTTE up to: 0.5, Start Date: 02/02/2026, End Date: 11/12/2026(Dependent on Ministry funding);https://gazette.education.govt.nz/vacancies/1HAqNo-itms-several-positions-available/;p.kaisser@papakurahigh.school.nz;N/A;N/A;;
Digital technology teacher;Ōpōtiki College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqNn-digital-technology-teacher/;hr@opotikicol.school.nz;N/A;N/A;;
Classroom release teacher (0.6FTTE);Te Kura o Ōhinetahi - Governors Bay;Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 03/07/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqNW-part-time-classroom-release-teacher-0-6ftte/;office@governorsbay.school.nz;N/A;N/A;;
Y4 teacher;Forest Lake School;Full time, Fixed term, Start Date: 29/01/2026, End Date: 03/07/2026(Maternity leave );https://gazette.education.govt.nz/vacancies/1HAqNN-maternity-leave-year-4-terms-1-and-2-2026/;edief@forestlake.school.nz;N/A;N/A;;
Teachers;Kimi Ora School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqNK-teachers-full-time-permanent-wellington-city-and-the-hutt-valley/;anitae@kimiora.school.nz;N/A;N/A;;
Scale A job share teacher;Omakere School;Part time, Fixed term, FTTE up to: 0.2, Start Date: 04/02/2026, End Date: 17/12/2026(Job share position );https://gazette.education.govt.nz/vacancies/1HAqNE-scale-a-job-share-teacher/;principal@omakere.school.nz;N/A;N/A;;
Scale A Y6-7 teacher;Sonrise Christian School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqND-scale-a-year-6-7-teacher/;principal@sonrise.school.nz;N/A;N/A;;
Head teacher – Rotorua;Amazing Place Preschool (Sunset Road);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqN5-head-teacher-amazing-place-preschool-rotorua/;tim.collins@cet.org.nz;N/A;N/A;;
Science teacher;Southland Girls' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqN3-science-teacher/;excellence@southlandgirls.school.nz;N/A;N/A;;
Kaiako – learning support;Te Aho o Te Kura Pounamu;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(New positions);https://gazette.education.govt.nz/vacancies/1HAqN0-kaiako-learning-support/;Nicola.Anderson@tekura.school.nz;N/A;N/A;;
